Loan ID,Customer Name,Customer City,Customer State,Customer Zip,Phone Number,Employment Status,Annual Income,Debt-to-Income %,Credit Score,Credit Tier,Co-Borrower,Dealership,Dealership City,Dealership State,Dealership Zip,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Category,New/Used,Vehicle Price,Down Payment,Trade-In Value,Taxes & Fees,Amount Financed,APR %,Loan Term (Months),Monthly Payment,Funding Date,Loan Purpose,Loan Officer,Loan Status,Delinquent Flag,Charge-Off Flag,Region
NRAF-2024-100000,Danielle Johnson,Johnberg,WA,13935,(722) 820-0557,Full-Time,81000.00,9.1,742,Prime,Yes,Pacific Coast Nissan,San Diego,CA,92101,2024,Ford,F-150,Truck,New,52200.00,580.00,0.00,4530.00,56150.00,5.95,48,1317.40,8/4/2024,Lease Buyout,T. Whitfield,Current,0,0,West
NRAF-2024-100001,Carolyn Hoffman,Robinsonshire,KY,01352,(299) 796-8845,Self-Employed,119000.00,30.3,781,Super Prime,No,Cactus Wren Chevrolet,Mesa,AZ,85201,2024,Jeep,Wrangler,SUV,New,36900.00,4510.00,9400.00,2330.00,25320.00,5.9,60,488.33,7/2/2024,Private Party Purchase,A. Kowalski,Current,0,0,West
NRAF-2024-100002,Colin Abbott,Lindsaymouth,ND,16862,(400) 825-4780,Self-Employed,83000.00,14,827,Super Prime,No,Bluff Street Toyota,St. George,UT,84770,2018,Toyota,Corolla,Sedan,Used,14000.00,750.00,3600.00,880.00,10530.00,5.44,60,200.84,11/21/2024,Refinance,D. Nguyen,Current,0,0,West
NRAF-2024-100003,Donna Mejia,Port Jesseville,MS,36935,(930) 853-6866,Part-Time,93000.00,41.8,720,Prime,No,Great Lakes Toyota,Chicago,IL,60601,2018,Ford,F-150,Truck,Used,33800.00,0.00,10000.00,2840.00,26640.00,7.02,60,527.76,2/3/2024,Lease Buyout,G. Sorensen,Current,0,0,Midwest
NRAF-2024-100004,Amanda Sanchez,Grayside,IN,90234,(638) 944-8463,Full-Time,47000.00,13.7,648,Nonprime,Yes,Golden Gate Honda,San Francisco,CA,94102,2020,Ram,1500,Truck,Used,27400.00,1800.00,12000.00,2060.00,15660.00,12.09,48,413.08,1/25/2024,Used Vehicle Purchase,G. Sorensen,Current,0,0,West
NRAF-2024-100005,Nancy Edwards,Fostermouth,FL,35219,(497) 350-2080,Full-Time,86000.00,43.3,771,Prime,No,Pioneer Auto Sales,Logan,UT,84321,2018,Jeep,Grand Cherokee,SUV,Used,21200.00,1050.00,0.00,1340.00,21490.00,9.27,60,448.92,8/20/2024,Private Party Purchase,A. Kowalski,Current,0,0,West
NRAF-2024-100006,Jeffrey Bright,Daviston,VI,14872,(312) 073-5647,Self-Employed,51000.00,16.9,613,Nonprime,No,Cactus Wren Chevrolet,Mesa,AZ,85201,2020,Kia,Forte,Sedan,Used,15500.00,1700.00,0.00,1160.00,14960.00,9.84,48,378.28,7/4/2024,Lease Buyout,S. Patel,Current,0,0,West
NRAF-2024-100007,John Tran,Lake Jenniferside,WV,35474,(618) 723-4601,Self-Employed,118000.00,24.2,802,Super Prime,,Steel City Chevrolet,Pittsburgh,PA,15201,2020,Nissan,Altima,Sedan,Used,17500.00,910.00,0.00,1420.00,18010.00,4.66,60,337.07,12/9/2024,Used Vehicle Purchase,T. Whitfield,Current,0,0,Northeast
NRAF-2024-100008,William Rodriguez,Meaganhaven,PA,26572,(37) 183-7645,Part-Time,56000.00,34.8,646,Nonprime,No,Silver State Motors,Las Vegas,NV,89101,2018,Toyota,RAV4,SUV,Used,20300.00,370.00,0.00,1390.00,21320.00,12.47,63,462.88,10/3/2024,Used Vehicle Purchase,K. Osei,Current,0,0,West
NRAF-2024-100009,Daniel Cox,Johnbury,FM,74865,(31) 365-0249,Part-Time,104000.00,15,833,Super Prime,No,Redwood Ford,West Valley City,UT,84119,2019,Jeep,Grand Cherokee,SUV,Used,19200.00,1570.00,0.00,1350.00,18980.00,5.17,75,296.69,5/7/2024,Used Vehicle Purchase,K. Osei,Current,0,0,West
